COPC Name                                              ,CAS #      ,MW [g/mole],Tm [K] ,Vp [atm]    ,S [mg/L] ,H [atm*m^3/mol],Da [cm^2/s],Dw [cm^2/s],Kow         ,Koc [mL/g] ,Kds [cm^3/g],Kdsw [L/kg],Kdbs [cm^3/g],Ksg [1/year],Fv         ,RCF         ,Br root veg ,Br leafy veg   ,Br forage      ,Bv leafy veg,Bv forage   ,Ba milk [day/kg FW],Ba beef [day/kg FW],Ba pork [day/kg FW],BCF egg    ,BCF chicken,BCF Fish [L/kg FW tissue],BAF fish [L/kg FW],BSAF fish,RfD [mg/kg/day],RfD Information Source,Oral CSF [mg/kg/day]-1,CSF Information Source,RFC [mg/m^3],Inhalation URF [1/(µg/m^3)],Inhalation CSF [1/(mg/kg/day/)],Chemical type,Chemical Subtype,Br Grain   ,Ba egg     ,Ba chicken ,Inhalation RFD,TEF,FACTIVE
Perylene              ,198-55-0   ,252.32,443.4,1.76E-12,0.008195,8.10E-07,2.55E-02,6.58E-06,1.29E+06,5.99E+05,160000,44925,23960,0.48,0.652,9680,0.0605,0.0132,0.0132,9.13E-03,9.13E-03,1.40E-02,4.45E-02,0.0455,10.7,           ,267.7,286.4,         ,               ,,                    ,,            ,                           ,                               ,O            ,PAH             ,0.0132,0.0158,0.0277,              ,   ,T      
Phenanthrene                                           ,85-01-8    ,178,372,1.45E-07,1.1,2.30E-05,0.001,1.00E-05,31600,26500,3700,1990,1060,1.26,0.999,678,0.183,0.097,0.0971,151,151,0.00712,0.0338,0.0409,0.282,           ,582,1030,         ,               ,,                    ,,            ,                           ,                               ,O            ,PAH             ,0.0971,0.0142,0.0249,              ,   ,T      
Phenol                                                 ,108-95-2   ,94.1,314,0.000368,83000,4.00E-07,0.082,9.10E-06,31.6,29.8,4.4,2.24,1.2,25.3,1,9.63,2.19,5.26,5.26,5.53,5.53,0.000265,0.00126,0.00153,0.000238,           ,2.85,                  ,         ,0.3,IRIS,                    ,,0.2,                           ,                               ,O            ,Ionizing        ,5.26,0.00053,0.000928,              ,   ,T      
Phenyl Cellosolve                                       ,122-99-6   ,138.17,296.47,5.90E-06,2.80E+04,1.55E-05,           ,           ,12.6,14.92,            ,1.119,0.5968,            ,0.999813,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,1.864,1.864,         ,               ,,                    ,,            ,                           ,                               ,             ,                ,           ,           ,           ,              ,   ,T      
Phenylenediamine N,106-50-3,108.14,236.83,8.58E-07,1.99E+05,6.73E-10,8.37E-02,9.78E-06,4.07E-01,3.38E+01,,2.53725,1.3532,,0.9999,,,,,5.75E+01,5.75E+01,3.96E-09,1.25E-08,,,,0.9124,0.9124,,,,,,,,,,,,,,,,
Phosphine,7803-51-2  ,34,140,41,312,               ,0.181,           ,490000,           ,            ,#VALUE!,#VALUE!,36.1,0,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,0.0003,IRIS,                    ,,0.0003,                           ,                               ,I            ,                ,           ,           ,           ,              ,   ,T      
Phosphorus (Yellow OR White)                           ,7723-14-0  ,124,317,3.42E-05,3,               ,           ,           ,1200,           ,            ,#VALUE!,#VALUE!,10.1,0,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,2.00E-05,IRIS,                    ,,            ,                           ,                               ,I            ,Metal           ,           ,           ,           ,              ,   ,T      
"Phthalic anhydride (1,2-Benzene dicarboxylic anhydride)",85-44-9    ,148.12,403.95,6.80E-07,6200,1.63E-08,0.071,8.60E-06,0.239883292,0.25,0.002,0.02,0.01,13490.4,1,6.39,2599,8.38,8.38,0.75,0.75,2.19E-06,1.04E-05,1.26E-05,1.99E-06,           ,3.16,                  ,         ,2,IRIS,                    ,,0.02,                           ,                               ,O            ,                ,8.38,4.38E-06,7.67E-06,              ,   ,T      
PM                                                     ,E1647593   ,           ,273,            ,         ,               ,           ,           ,            ,           ,            ,,,            ,0,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,               ,,                    ,,            ,                           ,                               ,             ,                ,           ,           ,           ,              ,   ,T      
PM_2013_point,E1647593-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10                                                   ,E1647619   ,           ,273,            ,         ,               ,           ,           ,            ,           ,            ,,,            ,0,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,               ,,                    ,,            ,                           ,                               ,             ,                ,           ,           ,           ,              ,   ,T      
PM10_2013_point,E1647619-2013,           ,273,            ,         ,               ,           ,           ,            ,           ,            ,,,            ,0,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,               ,,                    ,,            ,                           ,                               ,             ,                ,           ,           ,           ,              ,   ,T      
PM2.5 Diesel,MDPM25     ,           ,273,            ,         ,               ,           ,           ,            ,           ,            ,,,            ,0,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,               ,,                    ,,0.005,0.0003,                               ,O            ,                ,           ,           ,           ,              ,   ,T      
PM2.5 Diesel_2013_point,MDPM25-2013 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PM2.5,PRIMRY                                           ",E1647635   ,           ,273,            ,         ,               ,           ,           ,            ,           ,            ,,,            ,0,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,               ,,                    ,,            ,                           ,                               ,             ,                ,           ,           ,           ,              ,   ,T      
"PM2.5,PRIMRY_2013_point                          ",E1647635-2013 ,           ,273,            ,         ,               ,           ,           ,            ,           ,            ,,,            ,0,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,               ,,                    ,,            ,                           ,                               ,             ,                ,           ,           ,           ,              ,   ,T      
"PM2.5,SECONDARY                                        ",E1647636   ,           ,273.15,            ,         ,               ,           ,           ,            ,           ,            ,,,            ,0,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,               ,,                    ,,            ,                           ,                               ,             ,                ,           ,           ,           ,              ,   ,T      
"Polychlorinate Biphenyls (PCBS), Unspeciated         ",1336-36-3  ,326,283,1.01E-07,0.043,0.000283,0.001,1.00E-05,3160000,2450000,24500,184000,98100,0.03,0.992,23500,0.958,0.00678,0.00678,1650,1650,0.00652,0.031,0.0375,12.8,           ,84100,                  ,2,5.00E-05,EPA recommended for mixtures in food,2,IRIS,4.00E-07,1.00E-04,                               ,O            ,PCB             ,0.01,0.013,0.032,              ,   ,T      
"Propane Sultone 1,3-",1120-71-4,122.14,299.5,3.13E-04,1.71E+05,2.36E-06,7.31E-02,1.04E-05,0.525,9.41E+00,,0.705825,0.37644,,1,,,,,56,56,4.15E-09,1.31E-08,,,,0.9196,0.9196,,,,2.4,Cal EPA,,6.90E-04,,O            ,,,,,,,
"Propoxyethylacetate, 2-",20706-25-6,146.18,,9.17E-04,,,,,,104.82,,7.8615,4.1928,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propyl Cellosolve                                 ,2807-30-9  ,104.15,241.86,0.001795,3.17E+05,7.38E-08,           ,           ,1.2,1.549,            ,0.116175,0.06196,            ,1,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,0.962,0.962,         ,               ,,                    ,,            ,                           ,                               ,O            ,                ,           ,           ,           ,              ,   ,T      
Propylene,115-07-1,42.08,1.39E+02,9.17E+00,1.16E+03,1.53E-05,1.10E-01,1.07E-05,47.9,21.73,,,,,1,,,,,3.62,3.62,4.65E-07,1.47E-06,,,,6.398,6.398,,,,,,3,,,,,,,,,,
Propylene Oxide,75-56-9    ,58.1,161,0.708,590000,6.97E-05,0.127,1.47E-05,1.07,1.07,0.0107,0.0803,0.0428,8.43,1,6.55,612,37.2,37.2,0.000863,0.000863,1.19E-05,5.63E-05,6.82E-05,           ,           ,3.16,                  ,         ,,"could not find this value, recommend removing",0.24,IRIS,0.03,3.70E-06,                               ,O            ,                ,37.2,2.37E-05,4.15E-05,              ,   ,T      
"Propylenimine 1,2-",75-55-8,57.1,223.15,1.95E-01,1.00E+06,9.74E-06,1.08E-01,1.18E-05,1.35,14.51,,1.08825,0.5804,,1,,,,,32.4,32.4,1.07E-08,3.37E-08,,,,1.015,1.015,,,,,,,,,,,,,,,,
Pyrene                                                 ,129-00-0   ,202,423,6.05E-09,1.4,1.10E-05,0.001,1.00E-05,79400,68000,9500,5100,2720,0.13,0.994,1380,0.145,0.057,0.057,840,840,0.00809,0.0384,0.0465,0.798,           ,1180,3290,         ,0.03,IRIS,                    ,,            ,                           ,                               ,O            ,PAH             ,0.057,0.0162,0.0283,              ,   ,T      
Quinone         ,106-51-4   ,108.1,297.74,3.35E-05,7.45E+04,1.22E-09,           ,           ,1.78,41.19,            ,3.08925,1.6476,            ,1,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,0.9695,0.9695,         ,               ,,                    ,,            ,                           ,                               ,O            ,                ,           ,           ,           ,              ,   ,T      
Selenium                                               ,7782-49-2  ,79,493,0,2060,0.0097,0.0772,9.57E-06,1.74,           ,5,5,5,            ,0,            ,0.022,0.0195,0.016,            ,            ,0.00586,0.00227,0.188,1.13,           ,129,                  ,         ,0.005,IRIS,                    ,,0.02,                           ,                               ,I            ,Metal           ,0.002,1.13,1.13,              ,   ,T      
Styrene                                                ,100-42-5   ,104,242,0.00803,310,0.0027,0.071,8.00E-06,1000,912,120,68.4,36.5,9.03,1,47.4,0.395,0.714,0.714,0.0324,0.0324,0.0023,0.0109,0.0132,0.00674,           ,40.7,                  ,         ,0.2,IRIS,                    ,,1,                           ,                               ,O            ,                ,0.714,0.00459,0.00804,              ,   ,T      
Sulfur Dioxide                                     ,7446-09-5,64.1,198,3.95,1000000,               ,           ,           ,            ,           ,,,,,1,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,               ,,                    ,,            ,                           ,                               ,I            ,                ,           ,           ,           ,              ,   ,T      
Sulfur Dioxide_2013_point                                ,7446-09-5-2013,64.1,198,3.95,1000000,               ,           ,           ,            ,           ,,,,,1,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,               ,,                    ,,            ,                           ,                               ,I            ,                ,           ,           ,           ,              ,   ,T      
Sulfur Hexafluoride,2551-62-4,146.05,375.35,1.68E-10,2901,3.08,,,43.7,75.29,,5.64675,3.0116,,1,,,,,,,,,,,,5.91,5.91,,,,,,,,,,,,,,,,
Sulfuric Acid,7664-93-9,98.07,544.47,1.87E-07,1.00E+06,2.54E-11,,,0.00631,2.21,,0.16575,0.0884,,0.9865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TetraCDD, 2,3,7,8-                                     ",1746-01-6  ,322,579,1.97E-12,1.93E-05,3.29E-05,0.104,5.60E-06,6310000,3890000,38900,292000,156000,0.03,0.664,40000,1.03,0.00455,0.00455,65500,65500,0.0055,0.0261,0.0316,0.0596,3.32,34400,                  ,0.09,7.00E-10,MDH,1400000,MDH,4.00E-08,400,                               ,O            ,D               ,0.00455,0.011,0.0193,1,   ,T      
"TetraCDF, 2,3,7,8-                                     ",51207-31-9 ,306,501,1.97E-11,0.000419,1.44E-05,0.0235,6.01E-06,1260000,776000,7760,58200,31000,0.03,0.77,11600,1.49,0.0115,0.0115,45700,45700,0.00768,0.0365,0.0442,0.0361,2.56,9930,                  ,0.09,7.00E-09,MDH,140000,MDH,4.00E-07,40,                               ,O            ,F               ,0.0115,0.0154,0.0269,0.1,   ,T      
"Tetrachlorobiphenyls, Unspeciated                ",26914-33-0 ,326,283,1.01E-07,0.043,0.000283,0.001,1.00E-05,3160000,2450000,24500,184000,98100,0.03,0.992,23500,0.958,0.00678,0.00678,1650,1650,0.00652,0.031,0.0375,12.8,           ,84100,                  ,2,4.50E-05,average of oral RFD for Aroclor 1254 and Aroclor 1016,420,"MDH, based on most toxic congener",0.00013,0.085714286,                               ,O            ,PCB             ,0.01,0.013,0.032,              ,   ,T      
"Tetrachloroethane, 1,1,2,2-                            ",79-34-5    ,168,229,0.00605,3000,0.00034,0.071,7.90E-06,251,79,0.19,5.93,3.16,5.75,1,16.4,86.2,1.59,1.59,0.0591,0.0591,0.0011,0.00521,0.0063,0.35,           ,14.1,                  ,         ,2.00E-02,IRIS,0.2,IRIS,            ,5.80E-05,                               ,O            ,                ,1.59,0.00219,0.00384,              ,   ,T      
Tetrachloroethylene (Perchloroethylene)                ,127-18-4   ,166,251,0.025,200,0.018,0.072,8.20E-06,2510,265,0.31,19.9,10.6,0.7,1,96.4,311,0.42,0.42,0.013,0.013,0.00343,0.0163,0.0197,0.00279,           ,82.8,                  ,         ,0.006,IRIS,0.0021,IRIS,0.1,5.00E-06,                               ,O            ,                ,0.42,0.00687,0.012,              ,   ,T      
"Tetrafluoroethane 1,1,1,2- (HFC-134a)",811-97-2,102.03,123.48,5.21E+00,767.8,1.53E+00,8.23E-02,1.06E-05,47.86,8.60E+01,,6.45225,3.4412,,1,,,,,4.08,4.08,3.78E-07,1.20E-06,,,,5.627,5.627,,,,,,80,,,,HFC,,,,,,
Tetrafluoromethane (PFC-14),75-73-0,88,109.2,9.13E+01,2239,4.59,,,15.5,43.89,,3.29175,1.7556,,1,,,,,,,,,,,,2.347,2.347,,,,,,,,,,PFC,,,,,,
Titanium Tetrachloride,7550-45-0,189.68,499.89,7.35E-03,2741,5.10E-04,3.80E-02,9.06E-08,29.5,4.39E+01,,3.29175,1.7556,,1,,,,,,,,,,,,2.322,2.322,,,,,,,,,,,,,,,,
Toluene                                                ,108-88-3   ,92.1,178,0.0368,530,0.0066,0.087,8.60E-06,501,140,0.36,10.5,5.6,11.5,1,27.9,77.4,1.07,1.07,0.00636,0.00636,0.00162,0.00769,0.00931,0.00369,           ,23.9,                  ,         ,0.08,IRIS,                    ,,0.4,                           ,                               ,O            ,                ,1.07,0.00324,0.00567,              ,   ,T      
"Toluidine, o-                                          ",95-53-4    ,107,257,0.000421,16600,2.72E-06,0.0714,9.12E-06,20.9,19.9,0.2,1.49,0.79,36.1,1,8.72,43.9,6.68,6.68,0.523,0.523,0.000191,0.000909,0.0011,0.000174,           ,2.07,                  ,         ,               ,,0.016,PPRTV,            ,5.10E-05,                               ,O            ,                ,6.68,0.000383,0.00067,              ,   ,T      
"PAHs, Unspeciated",130498-29-2,228,527,1.03E-11,0.00194,1.21E-06,0.0248,6.21E-06,548000,297000,2970,22300,11900,0.253,0.761,6100,2.06,0.0187,0.0187,59700,59700,0.00436,0.0138,0.0167,4.36,           ,                         ,6030,         ,               ,,1.7,MDH (value for benzo(a)pyrene,            ,5.50E-05,                               ,O            ,PAH             ,0.0132,0.0158,0.0277,              ,   ,T      
"Trichlorobenzene, 1,2,4-                               ",120-82-1   ,181,290,0.000566,35,0.0014,0.03,8.23E-06,10000,1660,3.6,125,66.4,1.41,1,279,77.6,0.189,0.189,0.727,0.727,0.00547,0.026,0.0315,0.0773,           ,240,                  ,         ,1.00E-02,IRIS,2.90E-02,PPRTV,            ,                           ,                               ,O            ,                ,0.189,0.0109,0.0192,              ,   ,T      
"Trichlorobiphenyl 2,4,4'-                          ",7012-37-5  ,326,283,1.01E-07,0.043,0.000283,0.001,1.00E-05,3160000,2450000,24500,184000,98100,0.03,0.992,23500,0.958,0.00678,0.00678,1650,1650,0.00652,0.031,0.0375,12.8,           ,84100,                  ,2,7.00E-05,"IRIS, Aorclor 1016",7.00E-02,IRIS,4.00E-07,0.00057,                               ,O            ,PCB             ,0.01,0.013,0.032,              ,   ,T      
"Trichloroethane, 1,1,1-                                ",71-55-6    ,133,243,0.158,1300,0.017,0.078,8.80E-06,316,135,0.22,10.1,5.4,0.93,1,19.5,88.8,1.39,1.39,0.00151,0.00151,0.00125,0.00596,0.00721,0.0021,           ,16.8,                  ,         ,2,IRIS,                    ,,5,                           ,                               ,O            ,                ,1.39,0.00251,0.00439,              ,   ,T      
"Trichloroethane, 1,1,2-                                ",79-00-5    ,133,236,0.0303,4400,0.00091,0.078,8.80E-06,100,75,0.1,5.63,3,0.69,1,8.05,80.5,2.7,2.7,0.00829,0.00829,0.000611,0.0029,0.00351,0.000993,           ,6.92,                  ,         ,0.004,IRIS,0.057,IRIS,            ,1.60E-05,                               ,O            ,                ,2.7,0.00122,0.00214,              ,   ,T      
Trichloroethylene                                      ,79-01-6    ,131,188,0.0961,1500,0.01,0.079,9.10E-06,251,94.3,0.33,7.07,3.77,0.7,1,16.4,49.6,1.59,1.59,0.00201,0.00201,0.0011,0.00521,0.0063,0.00215,           ,14.1,                  ,         ,0.0005,IRIS,0.046,IRIS,0.002,3.30E-06,                               ,O            ,                ,1.59,0.00219,0.00384,              ,   ,T      
"Trichlorophenol, 2,4,5-                                ",95-95-4    ,197.5,341.15,2.63E-05,1200,4.33E-06,0.0291,7.03E-06,5248.074602,1597,15.97,119.775,63.88,0.37,1,170,10.6,0.274,0.274,118,118,0.000416592,0.001978814,0.002395406,0.058883552,           ,58.1,                  ,         ,0.1,IRIS,                    ,,0.35,                           ,                               ,O            ,Ionizing        ,0.274,0.000833185,0.001458073,              ,   ,T      
"Trichlorophenol, 2,4,6-                                ",88-06-2    ,198,342,3.16E-05,800,7.80E-06,0.001,1.00E-05,5010,381,0.76,28.6,15.2,3.61,1,164,216,0.281,0.281,62.5,62.5,2.72E-05,0.000129,0.000156,0.0409,           ,56.1,                  ,         ,0.001,PPRTV,0.011,IRIS,            ,3.10E-06,                               ,O            ,Ionizing        ,0.281,5.44E-05,9.51E-05,              ,   ,T      
Triethylamine,121-44-8   ,101,158,0.0751,73700,0.000103,0.0875,1.01E-05,28.2,26.7,0.267,2,1.07,3.37,1,9.35,35.1,5.62,5.62,0.019,0.019,0.000243,0.00115,0.0014,           ,           ,2.61,                  ,         ,,"unknown, recommend removing",                    ,,0.007,                           ,                               ,O            ,                ,5.62,0.000486,0.00085,              ,   ,T      
Triethyleneglycol,112-27-6,150.18,321.17,2.60E-07,1.00E+06,3.16E-11,5.09E-02,8.06E-06,1.78E-02,1.00E+01,,,,,1,,,,,3.99E+02,3.99E+02,1.40E-10,4.45E-10,,,,0.8933,0.8933,,2,PPRTV,,,,,,,,,,,,,
Triethylene Glycol Dimethyl Ether,112-49-2,178.23,275.95,3.14E-04,2.49E+05,3.24E-09,,,0.17,1.00E+01,,0.75,0.4,,1,,,,,,,,,,,,0.902,0.902,,,,,,,,,,,,,,,,
"Trifluoroethane 1,1,1- (HFC-143a)",420-46-2,84.04,122.35,9.13E+00,760.9,7.70E-01,,,54.95,4.39E+01,,3.29175,1.7556,,1,,,,,,,,,,,,6.309,6.309,,,,,,,,,,HFC,,,,,,
Trifluralin,1582-09-8  ,335,322,6.03E-08,0.184,0.00011,0.0394,4.56E-06,219000,178000,1780,13300,7100,6.66,0.99,3010,1.69,0.0317,0.0317,248,248,0.00857,0.0407,0.0493,           ,           ,2580,16700,         ,0.0075,IRIS,0.0077,IRIS,            ,                           ,                               ,O            ,                ,0.0317,0.0171,0.03,              ,   ,T      
Triglycol Monobutyl Ether,143-22-6,206.28,330.4,6.80E-07,1.27E+05,2.36E-11,,,1.04,1.00E+01,,0.75,0.4,,0.999675,,,,,,,,,,,,0.944,0.944,,,,,,,,,,,,,,,,
"Trimethylbenzene 1,2,4-                      ",95-63-6    ,120,229,0.00276,57,0.00583,0.078,9.03E-06,4270,3700,37,278,148,9.03,1,145,3.91,0.309,0.309,0.0705,0.0705,0.00418,0.0199,0.0241,           ,           ,124,                  ,         ,0.05,MDH,                    ,,0.007,                           ,                               ,O            ,                ,0.309,0.00837,0.0146,              ,   ,T      
"Trimethylbenzene, 1,3,5-                               ",108-67-8   ,120,228,0.00326,48.2,0.00877,0.0602,8.67E-06,2630,612,6.12,45.9,24.5,            ,1,99.9,16.3,0.409,0.409,0.028,0.028,0.0035,0.0166,0.0201,0.0209,           ,85.8,                  ,         ,0.05,MDH,                    ,,            ,                           ,                               ,O            ,                ,0.409,0.00699,0.0122,              ,   ,T      
"Trimethylbenzenes, Unspeciated",25551-13-7,120,228.5,0.00301,52.6,0.0073,0.0691,0.00000885,3450,2156,21.56,161.95,86.25,9.03,1,122.45,10.105,0.359,0.359,0.04925,0.04925,0.00384,0.01825,0.0221,0.0209,,104.9,,,0.05,MDH (surrogate from speciated trimethylbenzenes),,,0.007,,,O            ,,0.359,0.00768,0.0134,,,T      
"Trimethylpentane 2,2,4-",540-84-1,114.23,188.04,5.80E-02,9.91,3.01,5.74E-02,7.06E-06,12302,240.3,,18.0225,9.612,,1,,,,,0.163,0.163,9.72E-05,3.08E-04,,,,428.2,428.2,,,,,,,,,,,,,,,,
"Toluene 2,4 Diisocyante                           ",584-84-9   ,174,294,1.05E-05,37.6,4.88E-05,0.0609,7.05E-06,5500,4750,47.5,356,190,3.37,1,176,3.71,0.267,0.267,11,11,0.00456,0.0217,0.0262,           ,           ,151,                  ,         ,               ,,                    ,,7.00E-05,1.10E-05,                               ,O            ,                ,0.267,0.00912,0.016,              ,   ,T      
Vanadium,7440-62-2,50.94,462.6,5.55E-12,8.64E+04,2.45E-02,,,1.7,1.32E+01,,0.9915,0.5288,,0.212,,,,,5.50E-03,5.50E-03,2.00E-05,2.50E-03,,,,0.9834,0.9834,,,,,,,,,,,,,,,,
Vinyl Acetate                                          ,108-05-4   ,86.1,180,0.118,20000,0.00051,0.085,9.20E-06,5.37,5.22,0.79,0.39,0.21,            ,1,7.16,9.06,8.38,8.38,0.000657,0.000657,5.89E-05,0.00028,0.000339,3.97E-05,           ,3.16,                  ,         ,,"HEAST, eliminate",                    ,,0.2,                           ,                               ,O            ,                ,8.38,0.000118,0.000206,              ,   ,T      
Vinyl Bromide,593-60-2,106.95,180.46,1.37,5079,1.23E-02,8.62E-02,1.17E-05,33.1,21.73,,1.62975,0.8692,,1,,,,,4.73,4.73,2.94E-07,9.29E-07,,,,4.214,4.214,,,,,,0.003,,,O            ,,,,,,,
Vinyl Chloride                                         ,75-01-4    ,62.5,123,3.95,8800,0.027,0.106,1.23E-05,25.1,15.4,0.037,1.15,0.62,1.41,1,9.09,246,6.01,6.01,6.41E-05,6.41E-05,0.000222,0.00105,0.00128,0.000111,           ,2.39,                  ,         ,0.003,IRIS,7.20E-01,IRIS,0.1,8.80E-06,                               ,O            ,                ,6.01,0.000444,0.000776,              ,   ,T      
"VOCs, Unspeciated                                      ",E761346    ,,       ,            ,         ,               ,           ,           ,            ,           ,            ,,,,1,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,               ,,                    ,,            ,                           ,                               ,O            ,                ,           ,           ,           ,              ,   ,T      
"VOCs, Unspeciated_2013_point                                  ",E761346-2013   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xylenes (Mixed Isomers)                           ,1330-20-7  ,107,256,0.0105,106,0.0106,0.0842,9.75E-06,1450,381,3.81,28.6,15.2,8.43,1,63,16.5,0.578,0.578,0.0122,0.0122,0.00272,0.0129,0.0156,           ,           ,54.1,                  ,         ,0.2,IRIS,                    ,,0.1,                           ,                               ,O            ,                ,0.578,0.00544,0.00952,              ,   ,T      
Zinc,7440-66-6,65.38,693,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.3,IRIS,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
